This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
35cc43e827110200986ede4578b4e6d70ee8e375e9a90d0d1790328496bb58ff 1 1 383 0
60cec0435ecffa91777c3a4a2e6f2d50c3c6655e59070c83ac380f993a10e87f 63 60 978 283
b37e0df50cc86a962ec10e30f225ee7a48f128e62f1df464f49a51b3045e260d 3 3 155 1
7ed5941ab2f394098724210bfed4444de1d4cdfe3ea894102b97c43e0d954de0 8 8 4325 5
3828a0ea499c579dc8aaf2a2fda8de1b81ebe4ee7110c31bcc584ce6eafe1189 20 20 1185 16
35495f115a4d8d8adc1daf3bb6fea526d5a4ca41d7c89af15796f15eed271c84 1 1 40 0
1ce113e492a2d7fc7c6c85571c40a238dbe59838cbdcb126c5b421605852725f 17 17 1586 48
ab5216840c51431e76459e843282fba9c3fef2b5bdd8508d878a59da17c6462f 3 1 1282 0
cf14903ba2c54f0b2879a9032e170c771268c00d5a1f870fb963ba9f36b8fdf9 6 2 7109 2
d46f4abf4818264fac6585a3554d13154731a201df780f54620586a8952e2bf0 2 1 7996 0
c011fd41b41b30c8107e909796f2fe8c506b3da03a5cb5427c03c6bd93607c09 3 1 9635 0
6f616211c16b0d37155c2e9585bc4d146a5224acb557a0894a281f5a223b21f4 2 1 7065 0
aafcf1d91393402cd93d910a713b0146e2263bf5109d3747ffc23781ed379e19 3 1 653 0
fd5790da899ae61fbc9cb1e03a4a3740c3a4b6593faf91130383b75d8a3eb549 13 6 35 1
3e0b827f4c23e901bc9b0dc5a46a03b3594d1e57269b99564e98c668b35c5b2c 62 62 5370 2218
83f575e09c763c5f0101cef702e98633bdb6b697bcd719176077f9de79c1990b 3 1 10851 0
be89671da2a6b3da83146faf0eef1c06e84e57b9f9bf60e02168c7635f672a21 28 6 1646 1326
20b40dbbd2a8198270a84dec26eae36bac6808e67e5c32e26bb5d1e50fa0d3a0 2 0 0 0
aa03ec028c0c848a5388d2dbd53fee3506f84064c2f8da0f753babf06e77243f 31 0 0 0
d314f5edeae19594b2cc1446bd6dbe18f03b8cd1f88dfcd35f45d99fd68c13ac 23 0 0 0
16c8e47a3d395cc8c13c9cf622f9c7ca283b64d5b8595f2711ca450710efba7a 16 0 0 0
f929b0a10d9d7ac38769d2c0d647445dd6632490bd5d53527abb4ebcb84afca4 17 0 0 0
00ff4fe16f71bc312bae210728797a34b2fc48d84da2bf79d17ed40f1dbb65d7 15 0 0 0
6f3a25a08828e03f826c45342e013ea855e8b494a355e079a5e39db86b8c3b65 53 0 0 0
70f77e7c59b4433237d8c464df48bf5aa113837eb0e7a7c4388b14689993d088 254 0 0 0
039e35f7035092ddd653ac05fccda6a3e92bc585227a0c6dafffdc6cbb952273 18 18 27816 3154
04b33a6874afb217e31fcd348d64a96d62f5387e5f9414fa548a31df21591b38 9 9 436 9
